Name of Primary Health Center,PHC LGA,State of PHC,How is Hospital Waste Disposed?,Specify Other Ways of Disposing Waste by the PHC?
Anguwan Dampar Phcc,Ibi,Taraba State,Sanitary Land Fill,Safety box
First Referral Hospital Sunkani,Ardo-kola,Taraba State,Thrown in a Pit,Burnt
Garin Jatau Phc,Ardo-kola,Taraba State,Burnt,Bury and Burnt
Primary Health Care Rafin Damisa Dispensary.,Ibi,Taraba State,Burnt,Bury
Phcc Sarki Kudu Ibi Lga,Ibi,Taraba State,Thrown in a Pit,Burnt
Primary Health Care Center Mallum,Ardo-kola,Taraba State,Thrown in a Pit,Burnt
Pamanga Primary Health Care Centers,Bali,Taraba State,Thrown in a Pit,Burnt
Kankani Primary Health Clinic,Bali,Taraba State,Thrown in a Pit,Burnt
Dankum Primary Health Care Center,Yorro,Taraba State,Thrown in a Pit,Burnt
Kajong Primary Health Care Center,Yorro,Taraba State,Thrown in a Pit,Burnt
Tunapo Primary Health Care Center,Zing,Taraba State,Thrown in a Pit,None
Borno-Kuru-Kuru,Bali,Taraba State,Thrown in a Pit,Burnt
Laapo Primary Health Care Center,Zing,Taraba State,Thrown in a Pit,None
Lagos Buban Health Post,Donga,Taraba State,Burnt,Pit
Wasabi Health Post,Donga,Taraba State,Thrown in a Pit,Burnt
Pupule Primary Health Care Center,Yorro,Taraba State,Thrown in a Pit,Burnt
Yitti Primary Health Centre,Lau,Taraba State,Discarded by Waste Managers,
Abbare Primary Health Centre,Lau,Taraba State,Discarded by Waste Managers,
Lankaviri Primary Health Care Center,Yorro,Taraba State,Thrown in a Pit,Burnt
Phcc Zango Kombi,Ardo-kola,Taraba State,Thrown in a Pit,Burnt
Lau Primary Health Care Centre,Lau,Taraba State,Discarded by Waste Managers,
Jimlari Primary Health Care Centre,Lau,Taraba State,Discarded by Waste Managers,Thrown in a bush
Fada Primary Health Clinic,Donga,Taraba State,Thrown in a Pit,Burnt
Kente Primary Health Care Center,Wukari,Taraba State,Thrown in a Pit,Burnt
Kakara Primary Health Center,Sardauna,Taraba State,Thrown in Bush,
Kusuku Primary Health Center,Sardauna,Taraba State,Discarded by Waste Managers,
Warwar Primary Health Clinic,Sardauna,Taraba State,Burnt,None
Costine Primary Health Center,Ussa,Taraba State,Discarded by Waste Managers,None
Chenchenji Primary Health Center,Wukari,Taraba State,Thrown in Bush,
Kasimbli Primary Health Center. A Opposite Center Mo- Ques Kasimbli,Takum,Taraba state,Burnt,
Bete Primary Health Care Center,Takum,Taraba State,Discarded by Waste Managers,
Dutse Primary Health Center,Takum,Taraba State,Thrown in Bush,
High Mammy Primary Health Center.,Takum,Taraba State,Burnt,None
Kashimbila Primary Health Center,Takum,Taraba State,Discarded by Waste Managers,None
Mayo Ndaga Primary Health Center,Sardauna,Taraba State,Burnt,None
Wapan Nghaku Primary Health Care Center,Wukari,Taraba State,Thrown in a Pit,Burnt
Primary Health Care Centre Sibre,Ardo-kola,Taraba State,Burnt,Bury
Primary Health Care Centre Ardo Kola,Ardo-kola,Taraba State,Thrown in a Pit,Bury and burnt
Yorro Manang Boli Sabo Health Center,Yorro,Taraba State,Thrown in Bush,None
Didango Primary Health Care Muri A Ward Karim Lamido Lga,Karim Lamido,Taraba State,Thrown in Bush,
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Thrown in Bush,
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,Sanitary Land Fill,
Karim Jen Ardido Ward Kodi Dispensary Primary Health Center,Karim Lamido,Taraba State,Thrown in Bush,
Yorro Lankaviri Waru Primary Health Center,Yorro,Taraba State,Thrown in Bush,None
Sabo Gida Primary Health Care Centre,Gassol,Taraba State,Burnt,None
Lamido Borno primary health care center,Ardo kola,Taraba State,Burnt,
Barkin dutse primary health care center,Ardo kola,Taraba State,Thrown in a Pit,
Wuro ladde PHCC,Ardo kola,Taraba State,Thrown in a Pit,
Ali goro PHCC,Ardo kola,Taraba State,Thrown in a Pit,Burnt and buried
Dingding PHCC,Zing,Taraba State,Burnt,
Bitako PHCC,Zing,Taraba State,Burnt,
Tasompo PHCC,Zing,Taraba State,Burnt,
Bantaje PHCC,Wukari,Taraba State,Burnt,
Ndo(Ando) idi PHCC,Wukari,Taraba State,Burnt,
Puje(wukari) PHCC,Wukari,Taraba State,Burnt,
Pwadzu,Wukari,Taraba State,Thrown in a Pit,
Hon Imam Primary Healthcare Centre Jalingo,Jalingo,Taraba State,Burnt,Discarded in sanitary land fills.
Old Barade Modern Primary Healthcare Centre,Jalingo,Taraba State,Burnt,"Thrown in the bush, sometimes. But that's rare, according to the respondent."
Yarima Primary Healthcare Centre,Gassol,Taraba State,Thrown in Bush,
Mutum-Biyu Primary Healthcare Centre,Gassol,Taraba State,Sanitary Land Fill,Burnt
Balasa Agure Maternity Health Centre,Gassol,Taraba State,Burnt,
Kpankufung primary health cente,Takum,Taraba State,Thrown in a Pit,
Bali Town Primary Health Care Center,Bali,Taraba State,Thrown in a Pit,
Jenuwa gida primary health center,Takum,Taraba State,Thrown in a Pit,
Kwesati primary health center,USSA,Taraba State,Thrown in a Pit,
Gayama Primary Health Care Center,Donga,Taraba State,Thrown in a Pit,
Nyita primary health care center,Gonga,Taraba State,Thrown in a Pit,
Kpankufung primary health center,Takum,Taraba State,Others,
Yirom primary health center,Ussa,Taraba State,Thrown in a Pit,
Lekitaba primary health center,Sardauna,Taraba State,Thrown in a Pit,Pit
Sahkaka primary health clinic,Sardauna,Taraba State,Thrown in Bush,
Negrah primary health center,Sardauna,Taraba State,Thrown in a Pit,Pit
Mayo-Kam primary health care center,Bali,Taraba State,Thrown in a Pit,Pit
Budong Primary Health Clinic,Lau,Taraba State,Burnt,Bury
Kunini Primary Health Care Center,Lau,Taraba State,Burnt,Bury