Name of Primary Health Center,PHC LGA,State of PHC,Identify Shortages of Medical Supplies(Personal Protective Equipment)?
Anguwan Dampar Phcc,Ibi,Taraba State,No
First Referral Hospital Sunkani,Ardo-kola,Taraba State,No
Garin Jatau Phc,Ardo-kola,Taraba State,Yes
Primary Health Care Rafin Damisa Dispensary.,Ibi,Taraba State,Yes
Phcc Sarki Kudu Ibi Lga,Ibi,Taraba State,Yes
Primary Health Care Center Mallum,Ardo-kola,Taraba State,No
Pamanga Primary Health Care Centers,Bali,Taraba State,Yes
Kankani Primary Health Clinic,Bali,Taraba State,Yes
Dankum Primary Health Care Center,Yorro,Taraba State,No
Kajong Primary Health Care Center,Yorro,Taraba State,No
Tunapo Primary Health Care Center,Zing,Taraba State,Yes
Borno-Kuru-Kuru,Bali,Taraba State,Yes
Laapo Primary Health Care Center,Zing,Taraba State,Yes
Lagos Buban Health Post,Donga,Taraba State,Yes
Wasabi Health Post,Donga,Taraba State,Yes
Pupule Primary Health Care Center,Yorro,Taraba State,No
Yitti Primary Health Centre,Lau,Taraba State,Yes
Abbare Primary Health Centre,Lau,Taraba State,Yes
Lankaviri Primary Health Care Center,Yorro,Taraba State,Yes
Phcc Zango Kombi,Ardo-kola,Taraba State,Yes
Lau Primary Health Care Centre,Lau,Taraba State,Yes
Jimlari Primary Health Care Centre,Lau,Taraba State,Yes
Fada Primary Health Clinic,Donga,Taraba State,Yes
Kente Primary Health Care Center,Wukari,Taraba State,No
Kakara Primary Health Center,Sardauna,Taraba State,No
Kusuku Primary Health Center,Sardauna,Taraba State,No
Warwar Primary Health Clinic,Sardauna,Taraba State,No
Costine Primary Health Center,Ussa,Taraba State,No
Chenchenji Primary Health Center,Wukari,Taraba State,No
Kasimbli Primary Health Center. A Opposite Center Mo- Ques Kasimbli,Takum,Taraba state,No
Bete Primary Health Care Center,Takum,Taraba State,No
Dutse Primary Health Center,Takum,Taraba State,No
High Mammy Primary Health Center.,Takum,Taraba State,No
Kashimbila Primary Health Center,Takum,Taraba State,No
Mayo Ndaga Primary Health Center,Sardauna,Taraba State,No
Wapan Nghaku Primary Health Care Center,Wukari,Taraba State,No
Primary Health Care Centre Sibre,Ardo-kola,Taraba State,Yes
Primary Health Care Centre Ardo Kola,Ardo-kola,Taraba State,Yes
Yorro Manang Boli Sabo Health Center,Yorro,Taraba State,No
Didango Primary Health Care Muri A Ward Karim Lamido Lga,Karim Lamido,Taraba State,No
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,No
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,No
Karim Jen Ardido Ward Kodi Dispensary Primary Health Center,Karim Lamido,Taraba State,No
Yorro Lankaviri Waru Primary Health Center,Yorro,Taraba State,No
Sabo Gida Primary Health Care Centre,Gassol,Taraba State,Yes
Lamido Borno primary health care center,Ardo kola,Taraba State,Yes
Barkin dutse primary health care center,Ardo kola,Taraba State,Yes
Wuro ladde PHCC,Ardo kola,Taraba State,Yes
Ali goro PHCC,Ardo kola,Taraba State,Yes
Dingding PHCC,Zing,Taraba State,Yes
Bitako PHCC,Zing,Taraba State,Yes
Tasompo PHCC,Zing,Taraba State,Yes
Bantaje PHCC,Wukari,Taraba State,Yes
Ndo(Ando) idi PHCC,Wukari,Taraba State,Yes
Puje(wukari) PHCC,Wukari,Taraba State,Yes
Pwadzu,Wukari,Taraba State,Yes
Hon Imam Primary Healthcare Centre Jalingo,Jalingo,Taraba State,Yes
Old Barade Modern Primary Healthcare Centre,Jalingo,Taraba State,Yes
Yarima Primary Healthcare Centre,Gassol,Taraba State,Yes
Mutum-Biyu Primary Healthcare Centre,Gassol,Taraba State,Yes
Balasa Agure Maternity Health Centre,Gassol,Taraba State,Yes
Kpankufung primary health cente,Takum,Taraba State,Yes
Bali Town Primary Health Care Center,Bali,Taraba State,Yes
Jenuwa gida primary health center,Takum,Taraba State,No
Kwesati primary health center,USSA,Taraba State,Yes
Gayama Primary Health Care Center,Donga,Taraba State,Yes
Nyita primary health care center,Gonga,Taraba State,No
Kpankufung primary health center,Takum,Taraba State,No
Yirom primary health center,Ussa,Taraba State,No
Lekitaba primary health center,Sardauna,Taraba State,No
Sahkaka primary health clinic,Sardauna,Taraba State,No
Negrah primary health center,Sardauna,Taraba State,No
Mayo-Kam primary health care center,Bali,Taraba State,Yes
Budong Primary Health Clinic,Lau,Taraba State,Yes
Kunini Primary Health Care Center,Lau,Taraba State,Yes