Name of Primary Health Center,PHC LGA,State of PHC,Does the PHC have these Areas within the Premises(Functional Pharmacy)?,Does the PHC have these Areas within the Premises(Intensive Care Unit)?
Anguwan Dampar Phcc,Ibi,Taraba State,No,No
First Referral Hospital Sunkani,Ardo-kola,Taraba State,Yes,No
Garin Jatau Phc,Ardo-kola,Taraba State,No,No
Primary Health Care Rafin Damisa Dispensary.,Ibi,Taraba State,No,No
Phcc Sarki Kudu Ibi Lga,Ibi,Taraba State,No,No
Primary Health Care Center  Mallum,Ardo-kola,Taraba State,No,No
Pamanga Primary Health Care Centers,Bali,Taraba State,Yes,No
Kankani Primary Health Clinic,Bali,Taraba State,No,No
Dankum Primary Health Care Center,Yorro,Taraba State,No,No
Kajong Primary Health Care Center,Yorro,Taraba State,Yes,No
Tunapo Primary Health Care Center,Zing,Taraba State,No,No
Borno-Kuru-Kuru,Bali,Taraba State,Yes,Yes
Laapo Primary Health Care Center,Zing,Taraba State,No,No
Lagos Buban Health Post,Donga,Taraba State,No,No
Wasabi Health Post,Donga,Taraba State,No,No
Pupule Primary Health Care Center,Yorro,Taraba State,Yes,No
Yitti Primary Health Centre,Lau,Taraba State,No,No
Abbare Primary Health Centre,Lau,Taraba State,No,No
Lankaviri Primary Health Care Center,Yorro,Taraba State,Yes,No
Phcc Zango Kombi,Ardo-kola,Taraba State,Yes,No
Lau Primary Health Care Centre,Lau,Taraba State,Yes,No
Jimlari Primary Health Care Centre,Lau,Taraba State,No,No
Fada Primary Health Clinic,Donga,Taraba State,Yes,No
Kente Primary Health Care Center,Wukari,Taraba State,No,No
Kakara Primary Health Center,Sardauna,Taraba State,No,No
Kusuku Primary Health Center,Sardauna,Taraba State,No,No
Warwar Primary Health Clinic,Sardauna,Taraba State,No,No
Costine Primary Health Center,Ussa,Taraba State,No,No
Chenchenji Primary Health Center,Wukari,Taraba State,No,No
Kasimbli Primary Health Center. A  Opposite Center Mo- Ques Kasimbli,Takum,Taraba state,No,No
Bete Primary Health Care Center,Takum,Taraba State,No,No
Dutse Primary Health Center,Takum,Taraba State,No,No
High Mammy Primary Health Center.,Takum,Taraba State,No,No
Kashimbila Primary Health Center,Takum,Taraba State,No,No
Mayo Ndaga Primary Health Center,Sardauna,Taraba State,No,No
Wapan Nghaku Primary Health Care Center,Wukari,Taraba State,Yes,No
Primary Health Care Centre Sibre,Ardo-kola,Taraba State,No,No
Primary Health Care Centre Ardo Kola,Ardo-kola,Taraba State,No,No
Yorro Manang Boli Sabo Health Center,Yorro,Taraba State,No,No
Didango Primary Health Care Muri A Ward Karim Lamido Lga,Karim Lamido,Taraba State,No,No
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,No,No
Sala Duna Dispensary Primary Health Center,Karim Lamido,Taraba State,No,No
Karim Jen Ardido Ward  Kodi Dispensary Primary Health Center,Karim Lamido,Taraba State,No,No
Yorro Lankaviri Waru  Primary Health Center,Yorro,Taraba State,No,No
Sabo Gida Primary Health Care Centre,Gassol,Taraba State,No,No
Lamido Borno primary health care center,Ardo kola,Taraba State,Yes,No
Barkin dutse primary health care center,Ardo kola,Taraba State,Yes,No
Wuro ladde PHCC,Ardo kola,Taraba State,No,No
Ali goro PHCC,Ardo kola,Taraba State,Yes,No
Dingding PHCC,Zing,Taraba State,No,No
Bitako PHCC,Zing,Taraba State,Yes,No
Tasompo PHCC,Zing,Taraba State,No,No
Bantaje PHCC,Wukari,Taraba State,Yes,No
Ndo(Ando) idi PHCC,Wukari,Taraba State,Yes,No
Puje(wukari) PHCC,Wukari,Taraba State,Yes,Yes
Pwadzu,Wukari,Taraba State,Yes,No
Hon Imam Primary Healthcare Centre Jalingo ,Jalingo,Taraba State,No,No
Old Barade Modern Primary Healthcare Centre,Jalingo,Taraba State,No,No
Yarima Primary Healthcare Centre,Gassol ,Taraba State,No,No
Mutum-Biyu Primary Healthcare Centre ,Gassol ,Taraba State,Yes,No
Balasa Agure Maternity Health Centre,Gassol ,Taraba State,No,No
Kpankufung primary health cente,Takum ,Taraba State,No,No
Bali Town Primary Health Care Center,Bali ,Taraba State,No,No
Jenuwa gida primary health center,Takum ,Taraba State,No,No
Kwesati primary health center,USSA ,Taraba State,No,No
Gayama Primary Health Care Center,Donga ,Taraba State,No,No
Nyita primary health care center,Gonga ,Taraba State,No,No
Kpankufung primary health center,Takum ,Taraba State,No,No
Yirom primary health center,Ussa ,Taraba State,No,No
Lekitaba primary health center,Sardauna ,Taraba State,No,No
Sahkaka primary health clinic,Sardauna ,Taraba State,No,No
Negrah primary health center,Sardauna ,Taraba State,No,No
Mayo-Kam primary health care center,Bali ,Taraba State,No,No
Budong Primary Health Clinic,Lau ,Taraba State,No,No
Kunini Primary Health Care Center,Lau ,Taraba State,No,No